County,City,pop_april_2000,Land area sq mi,density,,,
Los Angeles,Palos Verdes Estates,13340,4.77,2797,,,
Butte,Paradise,26408,18.31,1442,,,
Los Angeles,Paramount,55266,4.73,11684,,,
Fresno,Parlier,11145,2.19,5089,,,
Los Angeles,Pasadena,133936,22.97,5831,,,
San Luis Obispo,Paso Robles,24297,19.12,1271,,,
Stanislaus,Patterson,11606,5.95,1951,,,
Riverside,Perris,36189,31.39,1153,,,
Sonoma,Petaluma,54548,14.38,3793,,,
Los Angeles,Pico Rivera,63428,8.3,7642,,,
Alameda,Piedmont,10952,1.68,6519,,,
Contra Costa,Pinole,19039,5.32,3579,,,
San Luis Obispo,Pismo Beach,8551,3.6,2375,,,
Contra Costa,Pittsburg,56769,17.22,3297,,,
Orange,Placentia,46488,6.57,7076,,,
El Dorado,Placerville,9610,5.81,1654,,,
Contra Costa,Pleasant Hill,32837,7.07,4645,,,
Alameda,Pleasanton,63654,24.11,2640,,,
Amador,Plymouth,980,0.93,1054,,,
Mendocino,Point Arena,474,1.35,351,,,
Los Angeles,Pomona,149473,22.95,6513,,,
Ventura,Port Hueneme,21845,4.45,4909,,,
Tulare,Porterville,39615,17.61,2250,,,
Plumas,Portola,2227,5.41,412,,,
San Mateo,Portola Valley,4462,9.09,491,,,
San Diego,Poway,48044,39.08,1229,,,
San Bernardino,Rancho Cucamonga,127743,39.85,3206,,,
Riverside,Rancho Mirage,13249,24.45,542,,,
Los Angeles,Rancho Palos Verdes,41145,13.46,3057,,,
Tehama,Red Bluff,13147,7.56,1739,,,
Shasta,Redding,80865,59.65,1356,,,
San Bernardino,Redlands,63591,36.13,1760,,,
Los Angeles,Redondo Beach,63261,6.2,10203,,,
San Mateo,Redwood City,75402,19.42,3883,,,
Fresno,Reedley,20756,5.08,4086,,,
San Bernardino,Rialto,91873,22.35,4111,,,
Contra Costa,Richmond,99216,30.07,3300,,,
Kern,Ridgecrest,24927,20.77,1200,,,
Humboldt,Rio Dell,3174,2.28,1392,,,
Solano,Rio Vista,4571,6.69,683,,,
San Joaquin,Ripon,10146,5.3,1914,,,
Stanislaus,Riverbank,15826,4.09,3869,,,
Riverside,Riverside,255166,81.14,3145,,,
Placer,Rocklin,36330,19.54,1859,,,
Sonoma,Rohnert Park,42236,7,6034,,,
Los Angeles,Rolling Hills,1871,2.99,626,,,
Los Angeles,Rolling Hills Estates,7676,3.57,2150,,,
Los Angeles,Rosemead,53505,5.16,10369,,,
Placer,Roseville,79921,36.22,2207,,,
Marin,Ross,2329,1.56,1493,,,
Sacramento,Sacramento,407018,97.92,4157,,,
Monterey,Salinas,142685,23.18,6156,,,
Marin,San Anselmo,12378,2.68,4619,,,
San Bernardino,San Bernardino,185401,59.2,3132,,,
San Mateo,San Bruno,40165,5.48,7329,,,
San Mateo,San Carlos,27718,5.54,5003,,,
Orange,San Clemente,49936,18.71,2669,,,
San Diego,San Diego,1223400,325.19,3762,,,
Los Angeles,San Dimas,34980,15.04,2326,,,
Los Angeles,San Fernando,23564,2.37,9943,,,
San Francisco,San Francisco,776733,46.87,16572,,,
Los Angeles,San Gabriel,39804,4.14,9614,,,
Riverside,San Jacinto,23779,25.72,925,,,
Fresno,San Joaquin,3270,1.15,2843,,,
Santa Clara,San Jose,894943,176.53,5070,,,
San Benito,San Juan Bautista,1549,0.71,2182,,,
Orange,San Juan Capistrano,33826,14.12,2396,,,
Alameda,San Leandro,79452,13.34,5956,,,
San Luis Obispo,San Luis Obispo,44174,12.78,3456,,,
San Diego,San Marcos,54977,24.37,2256,,,
Los Angeles,San Marino,12945,3.77,3434,,,
San Mateo,San Mateo,92482,12.13,7624,,,
Contra Costa,San Pablo,30215,2.63,11489,,,
Marin,San Rafael,56063,16.47,3404,,,
Contra Costa,San Ramon,44722,18.06,2476,,,
Monterey,Sand City,261,0.56,466,,,
Fresno,Sanger,18931,5.52,3430,,,
Orange,Santa Ana,337977,27.27,12394,,,
Santa Barbara,Santa Barbara,89600,19.47,4602,,,
Santa Clara,Santa Clara,102361,18.41,5560,,,
Los Angeles,Santa Clarita,151088,52.72,2866,,,
Santa Cruz,Santa Cruz,54593,12.74,4285,,,
Los Angeles,Santa Fe Springs,16413,8.87,1850,,,
Santa Barbara,Santa Maria,77423,22.76,3402,,,
Los Angeles,Santa Monica,84084,8.41,9998,,,
Ventura,Santa Paula,28598,4.59,6231,,,
Sonoma,Santa Rosa,147595,41.29,3575,,,
San Diego,Santee,52975,16.24,3262,,,
Santa Clara,Saratoga,29843,12.38,2411,,,
Marin,Sausalito,7330,1.77,4141,,,
Santa Cruz,Scotts Valley,11385,4.59,2480,,,
Orange,Seal Beach,24157,11.29,2140,,,
Monterey,Seaside,33097,9.24,3582,,,
Sonoma,Sebastopol,7774,1.85,4202,,,
Fresno,Selma,19444,5.14,3783,,,
Kern,Shafter,12736,27.94,456,,,
Los Angeles,Sierra Madre,10578,2.95,3586,,,
Los Angeles,Signal Hill,9333,2.19,4262,,,
Ventura,Simi Valley,111351,41.48,2684,,,
San Diego,Solana Beach,12979,3.52,3687,,,
Monterey,Soledad,23015,4.41,5219,,,
Santa Barbara,Solvang,5332,2.43,2194,,,
Sonoma,Sonoma,9128,2.74,3331,,,
Tuolumne,Sonora,4423,3.06,1445,,,
Los Angeles,South El Monte,21144,2.84,7445,,,
Los Angeles,South Gate,96375,7.24,13311,,,
El Dorado,South Lake Tahoe,23609,10.16,2324,,,
Los Angeles,South Pasadena,24292,3.41,7124,,,
San Mateo,South San Francisco,60552,9.14,6625,,,
Napa,St. Helena,5950,4.99,1192,,,
Orange,Stanton,37403,3.15,11874,,,
San Joaquin,Stockton,243771,61.67,3953,,,
Solano,Suisun City,26118,4.11,6355,,,
Santa Clara,Sunnyvale,131760,21.99,5992,,,
Lassen,Susanville,17428,7.93,2198,,,
Amador,Sutter Creek,2303,2.56,900,,,
Kern,Taft,8811,15.11,583,,,
Kern,Tehachapi,11125,9.87,1127,,,
Tehama,Tehama,432,0.79,547,,,
Riverside,Temecula,57716,30.15,1914,,,
Los Angeles,Temple City,33377,4.01,8323,,,
Ventura,Thousand Oaks,117005,55.03,2126,,,
Marin,Tiburon,8666,4.43,1956,,,
Los Angeles,Torrance,137946,20.48,6736,,,
San Joaquin,Tracy,56929,22,2588,,,
Humboldt,Trinidad,311,0.48,648,,,
Tulare,Tulare,43994,20.93,2102,,,
Siskiyou,Tulelake,1020,0.41,2488,,,
Stanislaus,Turlock,55810,16.93,3297,,,
Orange,Tustin,67504,11.08,6092,,,
San Bernardino,Twentynine Palms,14764,59.14,250,,,
Mendocino,Ukiah,15497,4.67,3318,,,
Alameda,Union City,66869,19.47,3434,,,
San Bernardino,Upland,68393,15.62,4379,,,
Solano,Vacaville,88625,28.37,3124,,,
Solano,Vallejo,116760,30.67,3807,,,
Ventura,Ventura,100916,21.65,4661,,,
Los Angeles,Vernon,91,4.97,18,,,
San Bernardino,Victorville,64029,73.18,875,,,
Orange,Villa Park,5952,2.08,2862,,,
Tulare,Visalia,91877,36.25,2535,,,
San Diego,Vista,89857,18.68,4810,,,
Los Angeles,Walnut,30004,8.99,3337,,,
Contra Costa,Walnut Creek,64296,19.76,3254,,,
Kern,Wasco,21263,9.43,2255,,,
Stanislaus,Waterford,6924,2.33,2972,,,
Santa Cruz,Watsonville,44265,6.69,6617,,,
Siskiyou,Weed,2978,4.79,622,,,
Los Angeles,West Covina,105080,16.04,6551,,,
Los Angeles,West Hollywood,35794,1.89,18939,,,
Yolo,West Sacramento,31615,21.43,1475,,,
Los Angeles,Westlake Village,8368,5.19,1612,,,
Orange,Westminster,88207,10.05,8777,,,
Imperial,Westmorland,2131,0.59,3612,,,
Yuba,Wheatland,2275,1.48,1537,,,
Los Angeles,Whittier,83680,14.65,5712,,,
Colusa,Williams,3670,5.44,675,,,
Mendocino,Willits,5073,2.8,1812,,,
Glenn,Willows,6220,2.85,2182,,,
Yolo,Winters,6125,2.91,2105,,,
Tulare,Woodlake,6651,2.25,2956,,,
Yolo,Woodland,49151,15.3,3212,,,
San Mateo,Woodside,5352,11.73,456,,,
Orange,Yorba Linda,58918,19.48,3025,,,
Napa,Yountville,3297,1.53,2155,,,
Siskiyou,Yreka,7290,9.98,730,,,
Sutter,Yuba City,36758,14.58,2521,,,
San Bernardino,Yucaipa,41207,27.89,1477,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
